epoch,first_slot,last_slot,account_count,active_account_count,tx_count,blockhash_count,unique_account_growth,global_unique_accounts,new_account_ratio,active_to_global_unique_ratio,registry_path
0,0,431999,448,448,1724876,431549,448,448,1.000000000000,1.000000000000,/home/ach/dev/blockzilla-v2/epoch-0/registry.bin
1,432000,863999,211,211,12548674,430517,189,637,0.895734597156,0.331240188383,/home/ach/dev/blockzilla-v2/epoch-1/registry.bin
2,864000,1295999,154,154,25536956,431988,10,647,0.064935064935,0.238021638331,/home/ach/dev/blockzilla-v2/epoch-2/registry.bin
3,1296000,1727999,208,208,25894145,429839,67,714,0.322115384615,0.291316526611,/home/ach/dev/blockzilla-v2/epoch-3/registry.bin
4,1728000,2159999,161,161,25390786,425155,10,724,0.062111801242,0.222375690608,/home/ach/dev/blockzilla-v2/epoch-4/registry.bin
5,2160000,2591999,211,211,24704692,420295,5,729,0.023696682464,0.289437585734,/home/ach/dev/blockzilla-v2/epoch-5/registry.bin
6,2592000,3023999,148,148,25798058,427342,8,737,0.054054054054,0.200814111262,/home/ach/dev/blockzilla-v2/epoch-6/registry.bin
7,3024000,3455999,158,158,26156306,424795,8,745,0.050632911392,0.212080536913,/home/ach/dev/blockzilla-v2/epoch-7/registry.bin
8,3456000,3887999,272,272,25846685,422098,133,878,0.488970588235,0.309794988610,/home/ach/dev/blockzilla-v2/epoch-8/registry.bin
9,3888000,4319999,367,367,25185599,413165,191,1069,0.520435967302,0.343311506080,/home/ach/dev/blockzilla-v2/epoch-9/registry.bin
10,4320000,4751999,1216,1216,25742343,420573,900,1969,0.740131578947,0.617572371762,/home/ach/dev/blockzilla-v2/epoch-10/registry.bin
11,4752000,5183999,449,449,25364859,415090,220,2189,0.489977728285,0.205116491549,/home/ach/dev/blockzilla-v2/epoch-11/registry.bin
12,5184000,5615999,269,269,26074652,419986,78,2267,0.289962825279,0.118659020732,/home/ach/dev/blockzilla-v2/epoch-12/registry.bin
